BeginYear,EndYear,Year,name,page,file_name,value,download_links
1999,2000,1999-2000,examineation_links,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Examination&CycleBeginYear=1999,Audiometry,/Nchs/Nhanes/1999-2000/AUX1.XPT,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/AUX1.XPT
1999,2000,1999-2000,examineation_links,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Examination&CycleBeginYear=1999,Audiometry - Acoustic Reflex,/Nchs/Nhanes/1999-2000/AUXAR.XPT,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/AUXAR.XPT
1999,2000,1999-2000,examineation_links,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Examination&CycleBeginYear=1999,Audiometry - Tympanometry,/Nchs/Nhanes/1999-2000/AUXTYM.XPT,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/AUXTYM.XPT
1999,2000,1999-2000,examineation_links,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Examination&CycleBeginYear=1999,Balance,/Nchs/Nhanes/1999-2000/BAX.XPT,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/BAX.XPT
1999,2000,1999-2000,examineation_links,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Examination&CycleBeginYear=1999,Bioelectrical Impedance Analysis,/Nchs/Nhanes/1999-2000/BIX.XPT,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/BIX.XPT
1999,2000,1999-2000,examineation_links,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Examination&CycleBeginYear=1999,Blood Pressure,/Nchs/Nhanes/1999-2000/BPX.XPT,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/BPX.XPT
1999,2000,1999-2000,examineation_links,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Examination&CycleBeginYear=1999,Body Measures,/Nchs/Nhanes/1999-2000/BMX.XPT,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/BMX.XPT
1999,2000,1999-2000,examineation_links,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Examination&CycleBeginYear=1999,Cardiovascular Fitness,/Nchs/Nhanes/1999-2000/CVX.XPT,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/CVX.XPT
1999,2000,1999-2000,examineation_links,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Examination&CycleBeginYear=1999,Lower Extremity Disease - Ankle Brachial Blood Pressure Index,/Nchs/Nhanes/1999-2000/LEXABPI.XPT,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LEXABPI.XPT
1999,2000,1999-2000,examineation_links,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Examination&CycleBeginYear=1999,Lower Extremity Disease - Peripheral Neuropathy,/Nchs/Nhanes/1999-2000/LEXPN.XPT,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LEXPN.XPT
